




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	DEseq_kmeans_all_1v2_sigUP.txt (Homo sapiens)
Reference List:	counts_batchnorm_genelist.txt (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9065
GO biological process complete	counts_batchnorm_genelist.txt - REFLIST (19989)	DEseq_kmeans_all_1v2_sigUP.txt (992)	DEseq_kmeans_all_1v2_sigUP.txt (expected)	DEseq_kmeans_all_1v2_sigUP.txt (over/under)	DEseq_kmeans_all_1v2_sigUP.txt (fold Enrichment)	DEseq_kmeans_all_1v2_sigUP.txt (P-value)
developmental process (GO:0032502)	5542	367	275.03	+	1.33	6.27E-06
multicellular organism development (GO:0007275)	4509	296	223.77	+	1.32	2.21E-03
multicellular organismal process (GO:0032501)	6526	395	323.87	+	1.22	3.67E-02
Unclassified (UNCLASSIFIED)	2590	93	128.53	-	.72	0.00E00
macromolecule metabolic process (GO:0043170)	5672	198	281.49	-	.70	2.86E-05
cellular macromolecule metabolic process (GO:0044260)	4388	138	217.76	-	.63	3.23E-06
organic cyclic compound metabolic process (GO:1901360)	2868	90	142.33	-	.63	9.84E-03
regulation of biosynthetic process (GO:0009889)	4086	126	202.78	-	.62	5.16E-06
regulation of transcription by RNA polymerase II (GO:0006357)	2509	76	124.51	-	.61	1.34E-02
regulation of transcription, DNA-templated (GO:0006355)	3353	101	166.40	-	.61	9.31E-05
regulation of nucleic acid-templated transcription (GO:1903506)	3354	101	166.45	-	.61	9.33E-05
regulation of cellular biosynthetic process (GO:0031326)	4023	121	199.65	-	.61	1.38E-06
regulation of RNA biosynthetic process (GO:2001141)	3359	101	166.70	-	.61	7.41E-05
regulation of RNA metabolic process (GO:0051252)	3635	109	180.40	-	.60	1.24E-05
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3866	114	191.86	-	.59	9.37E-07
cellular nitrogen compound metabolic process (GO:0034641)	3134	92	155.53	-	.59	8.03E-05
regulation of macromolecule biosynthetic process (GO:0010556)	3872	110	192.16	-	.57	7.16E-08
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3843	108	190.72	-	.57	3.50E-08
cellular aromatic compound metabolic process (GO:0006725)	2634	71	130.72	-	.54	4.27E-05
macromolecule biosynthetic process (GO:0009059)	1356	32	67.29	-	.48	1.93E-02
heterocycle metabolic process (GO:0046483)	2572	60	127.64	-	.47	5.74E-08
cellular macromolecule biosynthetic process (GO:0034645)	1333	31	66.15	-	.47	1.60E-02
nucleobase-containing compound metabolic process (GO:0006139)	2422	53	120.20	-	.44	1.49E-08
chromosome organization (GO:0051276)	968	19	48.04	-	.40	3.01E-02
gene expression (GO:0010467)	1959	31	97.22	-	.32	2.07E-11
nucleic acid metabolic process (GO:0090304)	1962	30	97.37	-	.31	5.33E-12
detection of stimulus (GO:0051606)	661	9	32.80	-	.27	1.67E-02
adaptive immune response (GO:0002250)	613	7	30.42	-	.23	9.48E-03
RNA metabolic process (GO:0016070)	1367	14	67.84	-	.21	2.76E-11
detection of chemical stimulus involved in sensory perception (GO:0050907)	457	4	22.68	-	.18	3.49E-02
detection of chemical stimulus (GO:0009593)	493	4	24.47	-	.16	8.60E-03
detection of stimulus involved in sensory perception (GO:0050906)	527	4	26.15	-	.15	2.08E-03
mRNA processing (GO:0006397)	427	3	21.19	-	.14	2.51E-02
sensory perception of smell (GO:0007608)	437	3	21.69	-	.14	1.78E-02
mRNA metabolic process (GO:0016071)	552	3	27.39	-	.11	1.04E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	412	2	20.45	-	.10	7.84E-03
RNA processing (GO:0006396)	835	4	41.44	-	.10	2.26E-09
ncRNA processing (GO:0034470)	385	1	19.11	-	.05	2.79E-03
ribonucleoprotein complex biogenesis (GO:0022613)	423	1	20.99	-	.05	3.86E-04
ncRNA metabolic process (GO:0034660)	466	1	23.13	-	.04	5.74E-05
