TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0006810", "transport", 18.119, 2.595, 5.521, 6.610, 0.885, 0.552, -1, False
"GO:0055085", "transmembrane transport", 13.277, null, null, 6.475, 0.882, 0.746, 6810, True
"GO:0051234", "establishment of localization", 18.248, null, null, 6.613, 0.887, 0.790, 6810, True
"GO:0034645", "cellular macromolecule biosynthetic process", 11.356, 2.751, -4.441, 6.407, 0.898, 0.575, -1, False
"GO:0009059", "macromolecule biosynthetic process", 11.605, 2.386, -4.743, 6.417, 0.906, 0.579, -1, False
"GO:0016070", "RNA metabolic process", 8.111, 2.996, -5.651, 6.261, 0.888, 0.584, -1, False
"GO:0098660", "inorganic ion transmembrane transport", 2.651, 2.276, 5.322, 5.776, 0.898, 0.588, -1, False
"GO:0071345", "cellular response to cytokine stimulus", 0.155, -4.724, -4.879, 4.542, 0.763, 0.593, -1, False
"GO:0034097", "response to cytokine", 0.168, null, null, 4.577, 0.775, 0.717, 71345, True
"GO:0071310", "cellular response to organic substance", 0.658, null, null, 5.170, 0.740, 0.808, 71345, True
"GO:0019221", "cytokine-mediated signaling pathway", 0.098, null, null, 4.344, 0.707, 0.952, 71345, True
"GO:0044271", "cellular nitrogen compound biosynthetic process", 14.787, 3.722, -5.189, 6.522, 0.884, 0.620, -1, False
"GO:0051716", "cellular response to stimulus", 10.904, -4.164, -4.394, 6.390, 0.752, 0.636, -1, False
"GO:0007165", "signal transduction", 6.903, null, null, 6.191, 0.665, 0.732, 51716, True
"GO:0002444", "myeloid leukocyte mediated immunity", 0.007, -0.786, 6.828, 3.220, 0.817, 0.643, -1, False
"GO:0002446", "neutrophil mediated immunity", 0.005, null, null, 3.049, 0.818, 0.824, 2444, True
"GO:0090304", "nucleic acid metabolic process", 13.979, 3.325, -5.097, 6.498, 0.883, 0.648, -1, False
"GO:0034220", "ion transmembrane transport", 5.548, 2.355, 5.554, 6.096, 0.889, 0.658, -1, False
"GO:0034470", "ncRNA processing", 2.557, 2.554, -6.316, 5.760, 0.903, 0.664, -1, False
"GO:0006935", "chemotaxis", 0.548, -4.354, -4.815, 5.091, 0.704, 0.669, -1, False
"GO:0060326", "cell chemotaxis", 0.056, null, null, 4.102, 0.690, 0.815, 6935, True
"GO:0042330", "taxis", 0.552, null, null, 5.094, 0.731, 0.874, 6935, True
"GO:0043299", "leukocyte degranulation", 0.006, 0.803, 6.168, 3.110, 0.759, 0.669, -1, False
"GO:0032675", "regulation of interleukin-6 production", 0.021, -4.600, 4.338, 3.673, 0.902, 0.680, -1, False
"GO:0001819", "positive regulation of cytokine production", 0.072, null, null, 4.211, 0.876, 0.860, 32675, True
"GO:0006281", "DNA repair", 2.397, -1.297, -4.745, 5.732, 0.694, 0.685, -1, False
"GO:0031347", "regulation of defense response", 0.130, -3.465, 2.913, 4.467, 0.876, 0.688, -1, False
"GO:0050727", "regulation of inflammatory response", 0.056, null, null, 4.103, 0.881, 0.805, 31347, True
"GO:0031349", "positive regulation of defense response", 0.048, null, null, 4.029, 0.865, 0.877, 31347, True
"GO:0009617", "response to bacterium", 0.171, -3.647, -4.453, 4.586, 0.749, 0.697, -1, False
"GO:0032496", "response to lipopolysaccharide", 0.037, null, null, 3.921, 0.732, 0.716, 9617, True
"GO:0002237", "response to molecule of bacterial origin", 0.043, null, null, 3.989, 0.734, 0.813, 9617, True
"GO:0098542", "defense response to other organism", 0.503, null, null, 5.054, 0.714, 0.876, 9617, True
"GO:0071222", "cellular response to lipopolysaccharide", 0.024, null, null, 3.732, 0.733, 0.953, 9617, True
"GO:0043207", "response to external biotic stimulus", 0.587, null, null, 5.121, 0.726, 0.963, 9617, True
"GO:0071219", "cellular response to molecule of bacterial origin", 0.026, null, null, 3.760, 0.733, 0.968, 9617, True
"GO:0051707", "response to other organism", 0.586, null, null, 5.120, 0.725, 0.979, 9617, True
