TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:2000112", "regulation of cellular macromolecule biosynthetic process", 11.411, -5.727, 3.957, 6.409, 0.913, 0.217, -1, False
"GO:0010556", "regulation of macromolecule biosynthetic process", 11.421, null, null, 6.410, 0.914, 0.882, 2000112, True
"GO:0051606", "detection of stimulus", 0.399, 2.092, -6.018, 4.953, 0.960, 0.316, -1, False
"GO:0034330", "cell junction organization", 0.104, -1.550, -5.022, 4.369, 0.951, 0.318, -1, False
"GO:0045216", "cell-cell junction organization", 0.040, -2.143, -5.320, 3.958, 0.936, 0.330, -1, False
"GO:0034329", "cell junction assembly", 0.052, null, null, 4.071, 0.935, 0.893, 45216, True
"GO:0006139", "nucleobase-containing compound metabolic process", 19.247, 5.576, 4.478, 6.636, 0.892, 0.381, -1, False
"GO:0044260", "cellular macromolecule metabolic process", 30.227, 4.713, 3.910, 6.833, 0.905, 0.407, -1, False
"GO:0042633", "hair cycle", 0.013, -1.677, 7.543, 3.471, 0.771, 0.416, -1, False
"GO:0043933", "protein-containing complex subunit organization", 1.677, -1.677, -5.502, 5.577, 0.942, 0.442, -1, False
"GO:0030856", "regulation of epithelial cell differentiation", 0.024, -6.247, 2.682, 3.736, 0.909, 0.491, -1, False
"GO:0048871", "multicellular organismal homeostasis", 0.062, -3.254, 6.145, 4.145, 0.699, 0.538, -1, False
"GO:0050891", "multicellular organismal water homeostasis", 0.009, -3.026, 6.433, 3.325, 0.702, 0.549, -1, False
"GO:0061436", "establishment of skin barrier", 0.005, null, null, 3.029, 0.560, 0.948, 50891, True
"GO:0033561", "regulation of water loss via skin", 0.005, null, null, 3.069, 0.710, 0.952, 50891, True
"GO:0007606", "sensory perception of chemical stimulus", 0.335, -1.800, 7.194, 4.877, 0.688, 0.553, -1, False
"GO:0016070", "RNA metabolic process", 8.111, 4.803, 5.267, 6.261, 0.884, 0.564, -1, False
"GO:0043588", "skin development", 0.037, -1.701, 5.114, 3.924, 0.604, 0.576, -1, False
"GO:0008544", "epidermis development", 0.047, -1.696, 0.864, 4.028, 0.710, 0.586, -1, False
"GO:0060429", "epithelium development", 0.259, null, null, 4.766, 0.676, 0.788, 8544, True
"GO:0030855", "epithelial cell differentiation", 0.115, null, null, 4.411, 0.678, 0.843, 8544, True
"GO:0006396", "RNA processing", 3.773, 4.624, 5.857, 5.929, 0.893, 0.593, -1, False
"GO:0090304", "nucleic acid metabolic process", 13.979, 4.952, 4.801, 6.498, 0.879, 0.648, -1, False
"GO:0045604", "regulation of epidermal cell differentiation", 0.010, -6.431, 2.437, 3.347, 0.902, 0.669, -1, False
"GO:0045616", "regulation of keratinocyte differentiation", 0.006, null, null, 3.107, 0.904, 0.959, 45604, True
"GO:0009913", "epidermal cell differentiation", 0.030, -1.387, 0.769, 3.834, 0.689, 0.681, -1, False
"GO:0070268", "cornification", 0.001, null, null, 2.509, 0.596, 0.795, 9913, True
"GO:0031424", "keratinization", 0.005, null, null, 3.089, 0.587, 0.854, 9913, True
"GO:0030216", "keratinocyte differentiation", 0.015, null, null, 3.538, 0.566, 0.906, 9913, True
