




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	DEseq_kmeans_all_1v2_sigUP.txt (Homo sapiens)
Reference List:	counts_batchnorm_genelist.txt (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	7616
GO biological process complete	counts_batchnorm_genelist.txt - REFLIST (14180)	DEseq_kmeans_all_1v2_sigUP.txt (706)	DEseq_kmeans_all_1v2_sigUP.txt (expected)	DEseq_kmeans_all_1v2_sigUP.txt (over/under)	DEseq_kmeans_all_1v2_sigUP.txt (fold Enrichment)	DEseq_kmeans_all_1v2_sigUP.txt (P-value)
sensory perception of chemical stimulus (GO:0007606)	480	5	23.90	-	.21	4.86E-02
protein localization to organelle (GO:0033365)	492	5	24.50	-	.20	3.48E-02
RNA metabolic process (GO:0016070)	1017	10	50.63	-	.20	3.88E-08
detection of stimulus involved in sensory perception (GO:0050906)	492	4	24.50	-	.16	6.41E-03
sensory perception of smell (GO:0007608)	421	3	20.96	-	.14	2.88E-02
mRNA metabolic process (GO:0016071)	408	2	20.31	-	.10	5.74E-03
RNA processing (GO:0006396)	575	2	28.63	-	.07	2.68E-06
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	400	1	19.92	-	.05	9.61E-04
detection of chemical stimulus involved in sensory perception (GO:0050907)	439	1	21.86	-	.05	1.31E-04
detection of chemical stimulus (GO:0009593)	463	1	23.05	-	.04	4.00E-05
